,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
197708,   -0.14,    0.28,   -3.19,   -2.48,    0.87,   -2.78,   -2.45,   -3.66,   -2.70,    1.59,   -0.31,   -2.15,   -3.34,   -2.37,   -2.50,   -4.50,   -2.25,   -2.24,   -3.45
197709,    0.53,   -0.57,    1.13,   -0.16,   -0.53,   -0.28,    1.83,    0.49,    0.10,   -1.12,    0.48,   -0.74,    0.13,    1.01,    2.39,    1.05,   -0.44,    0.17,   -0.01
197710,   -0.64,   -4.40,   -3.62,   -2.75,   -4.45,   -3.71,   -4.29,   -2.46,   -3.32,   -4.26,   -4.77,   -4.17,   -3.31,   -4.24,   -4.32,   -2.65,   -2.15,   -2.52,   -4.62
197711,    5.70,    4.35,    4.25,    5.89,    4.26,    4.59,    4.18,    4.25,    7.28,    3.96,    4.75,    4.76,    4.44,    5.68,    3.19,    4.14,    4.44,    6.34,    8.85
197712,   -0.65,    0.38,    0.94,    1.32,    0.28,    1.08,    1.19,    0.49,    1.15,    0.96,   -0.84,    0.77,    1.34,    0.67,    1.54,   -0.13,    1.51,    1.29,    0.93
197801,    4.77,   -6.33,   -5.38,   -2.52,   -6.19,   -6.67,   -4.97,   -4.26,   -1.59,   -5.90,   -6.68,   -6.89,   -6.48,   -5.49,   -4.61,   -4.72,   -3.51,   -2.46,   -0.18
197802,   -1.10,   -2.34,    0.59,   -0.34,   -2.63,   -0.89,    1.69,   -0.14,   -0.28,   -3.28,   -1.50,   -1.12,   -0.69,    0.65,    2.39,    0.02,   -0.41,   -0.33,   -0.20
197803,    8.76,    2.55,    3.95,    5.03,    2.06,    4.40,    3.89,    3.78,    6.09,    1.12,    3.65,    4.62,    4.21,    4.49,    3.50,    3.72,    3.88,    5.76,    6.62
197804,    6.33,   11.00,    5.80,    6.90,   11.40,    8.27,    5.35,    5.47,    6.98,   12.12,   10.23,    9.32,    7.36,    7.56,    3.88,    4.64,    6.82,    6.92,    7.06
197805,    9.09,    2.30,    1.65,    3.41,    2.18,    2.47,    1.29,    1.89,    4.45,    2.43,    1.75,    2.80,    2.19,    1.57,    1.10,    1.67,    2.24,    3.52,    5.88
197806,    1.55,   -1.34,   -1.21,   -0.86,   -1.12,   -2.21,   -1.16,   -0.68,   -0.09,   -0.47,   -2.20,   -2.30,   -2.14,   -1.29,   -1.08,   -0.01,   -1.74,    0.60,   -1.12
197807,    3.54,    6.99,    4.23,    5.94,    7.35,    5.23,    5.04,    3.60,    6.43,    7.34,    7.36,    5.75,    4.69,    5.20,    4.83,    2.48,    5.42,    5.10,    8.83
197808,   13.18,    4.05,    4.94,    3.61,    3.89,    4.85,    5.30,    3.74,    4.14,    4.22,    3.39,    4.62,    5.09,    5.19,    5.45,    4.18,    3.03,    3.95,    4.46
197809,   -2.95,   -2.54,    0.73,   -0.21,   -3.12,   -0.60,    1.12,    0.71,   -0.22,   -3.51,   -2.52,   -0.49,   -0.71,    1.38,    0.76,    1.29,   -0.21,    0.12,   -0.81
197810,  -29.26,  -11.26,  -10.19,  -13.41,  -11.02,  -11.88,  -10.46,   -9.38,  -15.75,  -10.04,  -12.51,  -12.09,  -11.65,  -10.44,  -10.50,   -8.50,  -10.80,  -14.02,  -18.75
197811,    4.67,    3.41,    3.43,    3.34,    3.37,    3.12,    4.09,    3.10,    3.27,    3.53,    3.11,    3.56,    2.66,    4.17,    3.98,    2.91,    3.41,    3.28,    3.26
197812,   -3.98,    2.84,    0.83,    0.19,    3.17,    1.34,    0.90,    0.34,    0.43,    4.95,    0.35,    1.70,    0.96,    1.38,    0.26,    0.59,   -0.07,    0.71,   -0.08
197901,   16.23,    3.87,    5.34,    7.40,    3.46,    5.50,    5.12,    5.79,    8.32,    2.39,    5.21,    5.30,    5.70,    5.00,    5.27,    5.43,    6.40,    6.80,   11.16
197902,   -6.02,   -3.67,   -2.39,   -2.63,   -3.98,   -2.81,   -2.72,   -1.74,   -2.74,   -3.90,   -4.10,   -2.59,   -3.06,   -3.03,   -2.29,   -1.27,   -2.52,   -2.34,   -3.48
197903,   13.95,    6.35,    6.00,    7.75,    6.09,    6.90,    6.98,    5.03,    8.47,    5.60,    6.89,    7.21,    6.58,    7.59,    6.17,    3.87,    6.98,    7.43,   10.39
197904,    3.26,    0.27,    0.86,    1.31,    0.34,    0.89,    1.25,    0.17,    1.22,    0.17,    0.60,    0.03,    1.79,    0.93,    1.68,   -0.60,    1.42,    1.50,    0.71
197905,   -6.16,   -1.90,   -1.22,   -1.11,   -2.04,   -1.19,   -1.56,   -0.90,   -1.23,   -1.99,   -2.11,   -1.42,   -0.95,   -1.51,   -1.61,   -0.85,   -0.97,   -1.27,   -1.15
197906,    2.72,    3.39,    5.57,    5.74,    2.98,    5.20,    6.16,    5.29,    4.96,    1.95,    4.62,    4.79,    5.63,    6.62,    5.53,    4.48,    6.59,    4.00,    6.67
197907,   -3.70,    0.75,    1.99,    3.05,    0.31,    2.12,    1.97,    2.00,    3.55,   -0.75,    1.96,    1.97,    2.32,    2.11,    1.84,    1.65,    2.38,    3.03,    4.35
197908,    4.86,    7.06,    5.72,    5.76,    7.10,    7.19,    4.99,    5.50,    6.55,    6.65,    7.78,    6.97,    7.49,    5.69,    4.34,    6.25,    4.68,    6.55,    6.56
197909,    2.39,   -0.60,    0.72,   -0.77,   -1.14,    0.64,    0.98,   -0.32,   -0.67,   -1.55,   -0.51,    0.86,    0.35,    1.13,    0.83,    0.24,   -0.93,   -0.63,   -0.72
197910,  -13.95,   -7.04,   -6.62,   -8.94,   -6.89,   -6.47,   -6.71,   -8.16,   -9.41,   -6.85,   -6.96,   -7.42,   -5.19,   -6.86,   -6.56,   -8.06,   -8.28,   -7.86,  -11.72
197911,   14.36,    6.98,    5.80,    4.65,    6.65,    7.39,    4.89,    6.89,    3.85,    7.20,    5.83,    7.85,    6.77,    3.91,    5.82,    7.91,    5.77,    4.92,    2.19
197912,   19.24,    3.64,    1.54,    2.56,    3.26,    3.96,    0.74,    1.69,    3.86,    2.51,    4.40,    4.65,    3.05,    0.57,    0.91,    2.51,    0.77,    2.75,    5.63
198001,    5.16,    5.23,    6.58,    7.99,    4.65,    7.41,    6.02,    6.13,    9.46,    3.01,    7.12,    6.73,    8.33,    7.94,    4.25,    6.34,    5.90,    7.21,   12.96
198002,    0.75,   -2.73,    1.56,   -0.22,   -3.45,    0.27,    2.08,   -0.59,    0.04,   -3.38,   -3.56,   -0.86,    1.76,    2.68,    1.50,   -0.57,   -0.61,    0.44,   -0.56
198003,  -30.76,  -10.49,  -11.30,  -13.99,   -9.33,  -12.77,  -10.89,  -11.89,  -15.39,   -9.18,   -9.54,  -13.40,  -11.97,  -12.28,   -9.54,  -11.89,  -11.88,  -13.52,  -18.17
198004,    7.97,    4.18,    5.68,    6.13,    3.84,    4.47,    5.86,    7.95,    4.67,    3.48,    4.36,    5.08,    3.71,    4.36,    7.28,    7.68,    8.26,    6.28,    2.14
198005,    4.77,    6.03,    5.69,    6.82,    5.79,    5.93,    6.12,    5.32,    7.63,    5.84,    5.72,    6.64,    5.02,    6.77,    5.52,    5.00,    5.69,    8.20,    6.70
198006,   11.28,    3.34,    3.57,    2.81,    3.13,    4.34,    2.53,    4.59,    2.33,    2.91,    3.45,    3.86,    4.97,    3.51,    1.63,    5.54,    3.49,    2.04,    2.81
198007,    4.62,    9.80,    5.79,    3.52,   11.57,    6.91,    4.91,    3.73,    5.79,   12.12,   10.77,    6.54,    7.49,    4.08,    6.05,    5.99,    1.78,    3.48,    8.34
198008,    2.05,    2.80,    1.77,    2.10,    3.53,    1.85,    1.72,    2.01,    1.08,    4.18,    2.60,    1.39,    2.56,    0.98,    2.70,    1.00,    2.91,    0.52,    1.67
198009,   12.84,    4.22,    3.19,   -0.61,    4.04,    5.14,    3.03,   -0.52,    0.33,    4.07,    4.00,    4.56,    6.03,    4.47,    1.14,    0.41,   -1.35,    0.85,   -0.21
198010,    0.41,    2.26,    2.85,   -0.31,    1.72,    3.87,    3.55,   -1.03,    0.71,    3.17,   -0.41,    3.33,    4.68,    4.14,    2.75,   -0.93,   -1.12,    0.38,    1.05
198011,    8.87,   11.60,   12.40,    4.41,   11.53,   13.29,   14.58,    4.48,    2.82,   12.06,   10.72,   11.75,   15.56,   17.50,   10.66,    3.13,    5.69,    3.64,    1.96
198012,   -7.23,   -2.52,   -4.38,   -0.71,   -1.53,   -5.22,   -4.55,   -0.97,   -0.58,   -1.12,   -2.17,   -4.42,   -6.35,   -5.00,   -3.91,   -1.15,   -0.81,   -0.29,   -0.91
198101,   -6.60,   -5.66,   -4.72,    1.73,   -5.91,   -6.17,   -4.80,    0.36,    2.30,   -7.03,   -4.16,   -5.17,   -7.61,   -6.32,   -2.66,   -0.66,    1.28,    2.23,    2.38
198102,   -0.78,    2.44,    1.39,    1.62,    2.45,    2.05,    0.53,    2.57,    1.41,    1.55,    3.82,    2.42,    1.49,    1.31,   -0.53,    3.46,    1.79,    0.55,    2.38
198103,   13.37,    4.46,    4.40,    5.82,    5.08,    4.57,    2.61,    5.14,    7.81,    4.79,    5.52,    3.24,    6.57,    1.73,    3.83,    6.16,    4.22,    5.61,   10.24
198104,    8.27,   -1.82,   -1.71,    1.45,   -1.56,   -3.25,   -1.41,    1.78,    0.33,   -0.59,   -2.99,   -2.35,   -4.58,   -3.23,    1.09,    1.14,    2.37,    0.59,    0.06
198105,   17.50,    1.29,   -0.07,    2.85,    2.43,   -1.00,   -0.55,    2.81,    2.22,    3.42,    0.91,   -0.97,   -1.04,   -1.15,    0.23,    2.18,    3.37,    2.09,    2.35
198106,   -8.43,   -3.49,    1.94,    0.31,   -4.95,    0.73,    2.37,    0.34,    0.25,   -6.18,   -3.05,   -0.46,    2.51,    1.62,    3.35,    0.32,    0.36,    0.83,   -0.38
198107,   -1.26,    0.77,   -0.85,   -1.16,    0.87,    1.54,   -2.14,   -2.28,   -0.72,    0.82,    0.92,    0.56,    2.87,   -2.36,   -1.75,   -2.59,   -1.91,    0.03,   -2.26
198108,  -10.77,   -7.23,   -5.54,   -2.94,   -7.08,   -6.63,   -5.53,   -5.32,   -1.91,   -9.00,   -5.37,   -7.57,   -5.36,   -5.96,   -4.81,   -5.79,   -4.75,   -0.75,   -4.34
198109,   -9.75,   -6.81,   -6.08,   -1.98,   -7.56,   -6.33,   -6.29,   -2.76,   -1.79,   -9.21,   -6.14,   -5.14,   -7.90,   -6.62,   -5.75,   -3.13,   -2.32,   -0.25,   -5.10
198110,   16.61,    8.34,    4.20,    4.66,    8.69,    7.21,    3.87,    3.10,    4.60,   11.33,    6.50,    7.54,    6.77,    3.15,    5.06,    1.67,    4.77,    4.95,    3.82
198111,   15.57,    3.77,    5.17,    4.24,    3.05,    5.47,    4.77,    4.97,    4.25,    0.41,    5.34,    5.41,    5.54,    4.76,    4.79,    5.64,    4.21,    3.76,    5.38
198112,   -6.02,   -3.01,   -2.50,   -2.27,   -2.84,   -3.08,   -2.97,   -1.95,   -1.98,   -3.76,   -2.08,   -3.37,   -2.67,   -2.98,   -2.95,   -1.22,   -2.79,   -1.73,   -2.54
198201,   -2.10,   -2.29,   -3.65,    0.20,   -2.17,   -3.83,   -3.14,   -1.53,    0.61,   -3.96,   -0.69,   -2.55,   -5.61,   -3.42,   -2.69,   -2.36,   -0.56,    1.35,   -1.06
198202,    0.63,   -7.38,   -3.41,   -1.69,   -7.35,   -6.91,   -2.73,   -1.24,   -2.21,   -9.56,   -5.60,   -7.45,   -6.12,   -2.82,   -2.58,   -1.68,   -0.73,   -3.14,   -0.03
198203,   -2.97,   -1.92,   -0.50,    1.83,   -3.31,    0.24,   -1.02,    1.64,    1.78,   -3.94,   -2.82,    1.20,   -1.15,   -1.68,    0.03,    1.39,    1.93,    1.80,    1.76
198204,   10.99,    5.84,    3.76,    2.47,    6.56,    4.30,    3.68,    3.46,    1.80,    6.12,    6.89,    4.26,    4.36,    3.40,    4.11,    3.26,    3.68,    0.64,    4.38
198205,    1.42,   -3.52,   -2.31,   -1.95,   -4.05,   -2.21,   -2.18,   -3.21,   -1.06,   -5.03,   -3.31,   -2.33,   -2.03,   -2.00,   -2.47,   -2.93,   -3.53,   -0.51,   -2.25
198206,   16.26,   -2.63,   -1.25,   -1.67,   -3.26,   -1.39,   -0.69,   -1.73,   -1.83,   -4.53,   -2.31,   -1.22,   -1.65,   -0.61,   -0.82,   -2.04,   -1.38,   -2.46,   -0.49
198207,   -1.05,   -0.93,   -3.68,   -1.78,   -0.47,   -3.25,   -3.48,   -2.25,   -2.10,   -2.03,    1.13,   -2.03,   -4.69,   -3.25,   -3.71,   -3.07,   -1.52,   -2.15,   -1.98
198208,    7.48,   10.91,   12.52,   12.87,   10.86,   11.70,   12.30,   12.93,   12.71,   11.21,   10.51,   11.03,   12.51,   11.40,   13.25,   12.85,   13.00,   13.36,   11.24
